assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCF_001458655.1,PRJNA224116,SAMEA2779801,na,reference genome,2162,2162,Methanobacterium formicicum,na,Mb9,latest,Complete Genome,Major,Full,16/11/2015,Mb9,CEBITEC,GCA_001458655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9,na,na,na,haploid,archaea,2494510,2494510,41,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/02/2024,2462,2404,55,na
GCF_022846155.1,PRJNA224116,SAMD00389909,na,na,2173,2173,Methanobrevibacter smithii,strain=CE91-St67,na,latest,Complete Genome,Major,Full,04/02/2022,ASM2284615v1,"Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN",GCA_022846155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/155/GCF_022846155.1_ASM2284615v1,na,na,na,haploid,archaea,1791153,1791153,31,1,1,1,NCBI RefSeq,GCF_022846155.1-RS_2024_04_20,20/04/2024,1737,1677,44,na
GCF_001889405.1,PRJNA224116,SAMN05756399,na,reference genome,2177,2177,Methanohalophilus halophilus,strain=Z-7982,na,latest,Complete Genome,Major,Full,06/12/2016,ASM188940v1,UBO,GCA_001889405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/889/405/GCF_001889405.1_ASM188940v1,na,assembly from type material,na,haploid,archaea,2022959,2022959,42.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),24/12/2023,2095,2026,55,na
GCF_026684035.1,PRJNA224116,SAMN31875339,na,reference genome,2199,2199,Methanogenium organophilum,strain=DSM 3596,na,latest,Complete Genome,Major,Full,06/12/2022,ASM2668403v1,National Chung Hsing University,GCA_026684035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/684/035/GCF_026684035.1_ASM2668403v1,na,assembly from type material,na,haploid,archaea,2648164,2648164,50,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),20/01/2024,2595,2519,62,na
GCF_019263745.1,PRJNA224116,SAMN19775401,na,na,2203,2203,Methanospirillum hungatei,strain=GP1,na,latest,Complete Genome,Major,Full,16/07/2021,ASM1926374v1,University of Minnesota,GCA_019263745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/263/745/GCF_019263745.1_ASM1926374v1,na,na,na,haploid,archaea,3393136,3393136,42,1,1,1,NCBI RefSeq,GCF_019263745.1-RS_2024_08_28,28/08/2024,3262,3173,70,na
GCF_019669945.1,PRJNA224116,SAMD00171895,na,na,2209,2209,Methanosarcina mazei,strain=TMA,na,latest,Complete Genome,Major,Full,02/06/2021,ASM1966994v1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",GCA_019669945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/945/GCF_019669945.1_ASM1966994v1,na,na,na,haploid,archaea,4417125,4417125,41,1,1,1,NCBI RefSeq,GCF_019669945.1-RS_2024_09_22,22/09/2024,3823,3612,74,na
GCF_037094595.1,PRJNA224116,SAMN40240783,na,na,2242,2242,Halobacterium salinarum,strain=KBTZ03,na,latest,Complete Genome,Major,Full,05/04/2024,ASM3709459v1,"Biology, Nazarbayev University",GCA_037094595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/094/595/GCF_037094595.1_ASM3709459v1,na,na,na,haploid,archaea,2471266,2471266,66,5,5,5,NCBI RefSeq,GCF_037094595.1-RS_2024_04_05,05/04/2024,2607,2501,52,na
GCF_029232225.1,PRJNA224116,SAMN30631033,na,na,2246,2246,Haloferax volcanii,strain=BNX82,na,latest,Complete Genome,Major,Full,17/03/2023,ASM2923222v1,Consiglio nazionale delle ricerche,GCA_029232225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/232/225/GCF_029232225.1_ASM2923222v1,na,na,na,haploid,archaea,3920955,3920955,65.5,5,5,5,NCBI RefSeq,GCF_029232225.1-RS_2024_08_08,08/08/2024,3996,3869,64,na
GCF_009729015.1,PRJNA224116,SAMN09933089,na,reference genome,2283,2283,Acidianus ambivalens,strain=LEI 10,na,latest,Complete Genome,Major,Full,04/12/2019,ASM972901v1,North Carolina State University,GCA_009729015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/015/GCF_009729015.1_ASM972901v1,na,assembly from type material,na,haploid,archaea,2252027,2252027,34,1,1,1,NCBI RefSeq,GCF_009729015.1-RS_2024_03_28,28/03/2024,2651,2525,52,na
GCF_002215485.1,PRJNA224116,SAMN06562951,na,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 16-22,na,latest,Complete Genome,Major,Full,06/07/2017,ASM221548v1,Harvard University,GCA_002215485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/485/GCF_002215485.1_ASM221548v1,na,na,na,haploid,archaea,2286709,2286709,37,1,1,1,NCBI RefSeq,GCF_002215485.1-RS_2024_03_30,30/03/2024,2466,2386,51,na
GCF_019175305.1,PRJNA224116,SAMN18406479,na,na,2286,2286,Saccharolobus shibatae,strain=S38A,na,latest,Complete Genome,Major,Full,08/07/2021,ASM1917530v1,Skolkovo Institute of Science and Technology,GCA_019175305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/175/305/GCF_019175305.1_ASM1917530v1,na,na,na,haploid,archaea,2791785,2791785,35.5,1,1,1,NCBI RefSeq,GCF_019175305.1-RS_2024_10_11,11/10/2024,3090,2837,51,34190379
GCF_900079115.1,PRJNA224116,SAMEA3920617,na,na,2287,2287,Saccharolobus solfataricus,strain=P1,na,latest,Complete Genome,Major,Full,11/04/2016,SSOP1,Institute of Biology,GCA_900079115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/115/GCF_900079115.1_SSOP1,na,assembly from type material,na,haploid,archaea,3034024,3034024,36,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),11/06/2023,3277,2925,52,na
GCF_902384015.1,PRJNA224116,SAMEA5851668,na,na,2317,2317,Methanosphaera stadtmanae,na,MGYG-HGUT-02164,latest,Complete Genome,Major,Full,10/08/2019,UHGG_MGYG-HGUT-02164,EMG,GCA_902384015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/384/015/GCF_902384015.1_UHGG_MGYG-HGUT-02164,na,na,na,haploid,archaea,1767403,1767403,27.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),14/02/2024,1602,1543,55,na
GCF_000275865.1,PRJNA224116,SAMN02256542,AGCO00000000.1,reference genome,28892,2201,Methanofollis liminatans DSM 4140,strain=DSM 4140,na,latest,Chromosome,Major,Full,13/07/2012,ASM27586v1,DOE Joint Genome Institute,GCA_000275865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/865/GCF_000275865.1_ASM27586v1,na,assembly from type material,na,haploid,archaea,2475100,2474500,61,1,1,7,NCBI RefSeq,GCF_000275865.1-RS_2024_05_01,01/05/2024,2493,2428,58,na
GCF_002355655.1,PRJNA224116,SAMD00053811,na,na,29284,29284,Halorubrum trapanicum,strain=CBA1232,na,latest,Complete Genome,Major,Full,01/07/2016,ASM235565v1,Korea Basic Science Institute,GCA_002355655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/655/GCF_002355655.1_ASM235565v1,na,na,na,haploid,archaea,3080199,3080199,68.5,3,3,3,NCBI RefSeq,GCF_002355655.1-RS_2024_05_05,05/05/2024,3058,2972,56,na
GCF_024662215.1,PRJNA224116,SAMN25349865,na,reference genome,33865,33865,Methanoplanus endosymbiosus,strain=DSM 3599,na,latest,Complete Genome,Major,Full,15/08/2022,ASM2466221v1,National Chung Hsing University,GCA_024662215.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/662/215/GCF_024662215.1_ASM2466221v1,na,assembly from type material,na,haploid,archaea,3163021,3163021,42.5,1,1,1,NCBI RefSeq,GCF_024662215.1-RS_2024_08_31,31/08/2024,2943,2852,77,na
GCF_014969745.1,PRJNA224116,SAMN15808703,na,na,35746,35746,Haloferax gibbonsii,strain=LR2-5,na,latest,Complete Genome,Major,Full,27/10/2020,ASM1496974v1,Max-Planck-Institute of Biochemistry,GCA_014969745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/969/745/GCF_014969745.1_ASM1496974v1,na,na,na,haploid,archaea,3996244,3996244,66,4,4,4,NCBI RefSeq,GCF_014969745.1-RS_2024_05_06,06/05/2024,4005,3904,65,33664716
GCF_003052125.1,PRJNA224116,SAMN06562580,na,na,39152,39152,Methanococcus maripaludis,strain=OS7mut1,na,latest,Complete Genome,Major,Full,16/04/2018,ASM305212v1,Kagoshima University,GCA_003052125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/052/125/GCF_003052125.1_ASM305212v1,na,na,na,haploid,archaea,1737606,1737606,33,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,1882,1822,46,na
GCF_019669925.1,PRJNA224116,SAMD00171894,na,na,39441,39441,Methanobrevibacter arboriphilus,strain=SA,na,latest,Complete Genome,Major,Full,02/06/2021,ASM1966992v1,"Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University",GCA_019669925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/925/GCF_019669925.1_ASM1966992v1,na,na,na,haploid,archaea,2393271,2393271,25.5,1,1,1,NCBI RefSeq,GCF_019669925.1-RS_2024_06_03,03/06/2024,2068,2014,44,na
GCF_002761295.1,PRJNA224116,SAMN05908879,na,reference genome,39664,39664,Methanohalophilus portucalensis,strain=FDF-1T,na,latest,Chromosome,Major,Full,07/11/2017,ASM276129v1,Macumba,GCA_002761295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/295/GCF_002761295.1_ASM276129v1,na,assembly from type material,na,haploid,archaea,2084975,2084275,42,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2161,2083,58,na
GCF_003201835.2,PRJNA224116,SAMN09071529,na,reference genome,41673,41673,Acidianus brierleyi,strain=DSM 1651,na,latest,Complete Genome,Major,Full,10/03/2020,ASM320183v2,North Carolina State University,GCA_003201835.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.2_ASM320183v2,na,assembly from type material,na,haploid,archaea,2947244,2947244,32,1,1,1,NCBI RefSeq,GCF_003201835.2-RS_2024_06_10,10/06/2024,3211,3033,51,na
GCF_009729035.1,PRJNA224116,SAMN09933091,na,reference genome,41675,41675,Stygiolobus azoricus,strain=FC6,na,latest,Complete Genome,Major,Full,04/12/2019,ASM972903v1,North Carolina State University,GCA_009729035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/035/GCF_009729035.1_ASM972903v1,na,assembly from type material,na,haploid,archaea,1987069,1987069,37.5,1,1,1,NCBI RefSeq,GCF_009729035.1-RS_2024_03_28,28/03/2024,2202,2119,51,na
GCF_025449255.1,PRJNA224116,SAMN30825808,na,na,42879,42879,Methanococcus aeolicus,strain=PL15/HP,na,latest,Complete Genome,Major,Full,28/09/2022,ASM2544925v1,NEB,GCA_025449255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/449/255/GCF_025449255.1_ASM2544925v1,na,na,na,haploid,archaea,1677738,1677738,30,1,1,1,NCBI RefSeq,GCF_025449255.1-RS_2024_10_11,11/10/2024,1660,1594,49,na
GCF_028472005.1,PRJNA224116,SAMN13512551,na,na,43080,43080,Sulfolobus islandicus,strain=HVE 10/4,na,latest,Complete Genome,Major,Full,06/02/2023,ASM2847200v1,Wuhan Unverisity,GCA_028472005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/472/005/GCF_028472005.1_ASM2847200v1,na,na,na,haploid,archaea,2656591,2656591,35,1,1,1,NCBI RefSeq,GCF_028472005.1-RS_2024_06_02,02/06/2024,2957,2611,51,na
GCF_023169565.1,PRJNA224116,SAMD00173596,na,na,43687,43687,Metallosphaera sedula,strain=MJ1HA,na,latest,Complete Genome,Major,Full,22/02/2022,ASM2316956v1,RIKEN,GCA_023169565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/169/565/GCF_023169565.1_ASM2316956v1,na,na,na,haploid,archaea,2283739,2283739,46,1,1,1,NCBI RefSeq,GCF_023169565.1-RS_2024_09_12,12/09/2024,2501,2432,51,35993221
GCF_005222525.1,PRJNA224116,SAMN09071532,na,reference genome,47304,47304,Metallosphaera prunae,strain=Ron 12/II,na,latest,Complete Genome,Major,Full,07/05/2019,ASM522252v1,North Carolina State University,GCA_005222525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/525/GCF_005222525.1_ASM522252v1,na,assembly from type material,na,haploid,archaea,2202576,2202576,46,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),15/11/2023,2414,2341,51,na
GCF_002214585.1,PRJNA224116,SAMN03324163,na,reference genome,49899,49899,Thermococcus profundus,strain=DT 5432,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221458v1,Ecole Normale Superieure de Lyon,GCA_002214585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/585/GCF_002214585.1_ASM221458v1,na,assembly from type material,na,haploid,archaea,2043143,2043143,53,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2176,2122,52,na
GCF_001592435.1,PRJNA224116,SAMN03324162,na,reference genome,53952,53952,Thermococcus peptonophilus,strain=OG-1,na,latest,Complete Genome,Major,Full,15/03/2016,ASM159243v1,Ecole Normale Superieure de Lyon,GCA_001592435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/435/GCF_001592435.1_ASM159243v1,na,assembly from type material,na,haploid,archaea,1896106,1896106,51.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/02/2024,2105,2033,52,na
GCF_002214465.1,PRJNA224116,SAMN03324153,na,reference genome,54077,54077,Thermococcus barossii,strain=SHCK-94,na,latest,Complete Genome,Major,Full,05/07/2017,ASM221446v1,Ecole Normale Superieure de Lyon,GCA_002214465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/465/GCF_002214465.1_ASM221446v1,na,assembly from type material,na,haploid,archaea,1922421,1922421,54.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2090,2031,52,na
GCF_014962245.1,PRJNA224116,SAMN16428067,na,na,54254,54254,Thermosphaera aggregans,strain=3507,na,latest,Complete Genome,Major,Full,27/10/2020,ASM1496224v1,"National Research Center ""Kurchatov Institute""",GCA_014962245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/962/245/GCF_014962245.1_ASM1496224v1,na,na,na,haploid,archaea,1305106,1305106,47.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),22/11/2023,1466,1409,50,na
GCF_036323395.1,PRJNA224116,SAMD00639620,na,reference genome,54256,54256,Pyrodictium abyssi,strain=AV2,na,latest,Complete Genome,Major,Full,14/09/2023,ASM3632339v1,Kyoto University,GCA_036323395.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/323/395/GCF_036323395.1_ASM3632339v1,na,assembly from type material,na,haploid,archaea,2224219,2224219,59,1,1,1,NCBI RefSeq,GCF_036323395.1-RS_2024_04_02,02/04/2024,2441,2384,51,na
GCF_900012635.1,PRJNA224116,SAMEA3721282,na,na,54262,54262,Thermococcus chitonophagus,na,1,latest,Complete Genome,Major,Full,15/04/2016,Pyrococcus chitonophagus genome sequence,University of Athens,GCA_900012635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/012/635/GCF_900012635.1_Pyrococcus_chitonophagus_genome_sequence,na,na,na,haploid,archaea,1969648,1969648,45,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),12/02/2024,2228,2151,54,na
GCF_001433455.1,PRJNA224116,SAMN03324231,na,na,55802,55802,Thermococcus barophilus,strain=CH5,na,latest,Complete Genome,Major,Full,05/11/2015,ASM143345v1,Ecole Normale Superieure de Lyon,GCA_001433455.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/455/GCF_001433455.1_ASM143345v1,na,na,na,haploid,archaea,2388527,2388527,42,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),03/03/2024,2679,2599,53,26769929
GCF_004803735.1,PRJNA224116,SAMN11349655,na,na,57705,57705,Halomicrobium mukohataei,strain=JP60,na,latest,Complete Genome,Major,Full,23/04/2019,ASM480373v1,Jiangsu University,GCA_004803735.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/735/GCF_004803735.1_ASM480373v1,na,na,na,haploid,archaea,3316057,3316057,65.5,2,2,2,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),29/10/2023,3416,3297,58,na
GCF_002813695.1,PRJNA224116,SAMN05928842,na,reference genome,59277,59277,Methanobacterium subterraneum,strain=A8p,na,latest,Complete Genome,Major,Full,07/12/2017,ASM281369v1,Japan Agency for Marine-Earth Science and technology,GCA_002813695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/695/GCF_002813695.1_ASM281369v1,na,assembly from type material,na,haploid,archaea,2515817,2515817,39.5,1,1,1,NCBI RefSeq,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),05/03/2024,2479,2411,52,na
