Accession,Species,Core_GC3,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1,Methanobacterium formicicum,0.449863884,0.272576636,0.294946147,0.314830157,0.316072908,0.314415907,0.348798674,0.378624689,0.352526926,0.362468931,0.393951947,0.398094449,0.387738194,0.407207954,0.411350456,0.396023198,0.4009942,0.414664457,0.4001657,0.398922949,0.404308202,0.404722452,0.402651201,0.403646913,0.396187319,0.404475756,0.421227197,0.412106136,0.423300166
GCF_022846155.1,Methanobrevibacter smithii,0.213324653,0.12285883,0.137625517,0.152982871,0.142941524,0.161252215,0.173656232,0.184288246,0.182516243,0.172474897,0.19019492,0.198464265,0.193738925,0.184878913,0.216184288,0.195510927,0.212049616,0.213821618,0.208505611,0.193738925,0.19019492,0.196692262,0.195510927,0.19492026,0.200826934,0.198464265,0.177790904,0.189604253,0.185469581
GCF_026684035.1,Methanogenium organophilum,0.551350954,0.352546388,0.398341887,0.386893012,0.420844848,0.447295697,0.457560205,0.48874852,0.468614291,0.486379787,0.526253454,0.517173312,0.506119226,0.504145282,0.536123174,0.528622187,0.519936834,0.530201342,0.530201342,0.525463877,0.519542045,0.517173312,0.513620213,0.511646269,0.508688784,0.524486572,0.508293839,0.509083728,0.52685624
GCF_019263745.1,Methanospirillum hungatei,0.375548589,0.303258145,0.320488722,0.334899749,0.359649123,0.366541353,0.377192982,0.385651629,0.377819549,0.361528822,0.393170426,0.381578947,0.382518797,0.395676692,0.389724311,0.385338346,0.386591479,0.385964912,0.382518797,0.374373434,0.370927318,0.388784461,0.381698527,0.372610467,0.376057662,0.367596365,0.375039197,0.383819379,0.378488554
GCF_019669945.1,Methanosarcina mazei,0.435095762,0.283809016,0.323819685,0.329154441,0.34622566,0.347292611,0.332088557,0.36196319,0.38623633,0.398239531,0.383302214,0.390504134,0.402774073,0.406241664,0.415044012,0.403040811,0.411309683,0.387836756,0.427694771,0.417822839,0.418201228,0.428990924,0.424185798,0.409236519,0.398558462,0.415376401,0.397863818,0.41682243,0.403738318
GCF_029232225.1,Haloferax volcanii,0.872504546,0.609867752,0.703204476,0.690488301,0.716174975,0.766531027,0.767039674,0.809766022,0.808748728,0.804170905,0.800101729,0.808748728,0.813580875,0.818667345,0.812309257,0.833418108,0.818921668,0.835452696,0.826042726,0.830366226,0.83646999,0.838504578,0.842533706,0.845840753,0.845586365,0.846603918,0.832612567,0.845840753,0.845077588
GCF_000275865.1,Methanofollis liminatans DSM 4140,0.815542388,0.546983997,0.589659417,0.571194091,0.618793599,0.637258925,0.667213787,0.684448092,0.694706606,0.702092737,0.728354534,0.732868281,0.731226918,0.76733689,0.756668034,0.752564629,0.773081658,0.762412803,0.754205991,0.76272578,0.75410509,0.761494253,0.764778325,0.763546798,0.76683087,0.77545156,0.768062397,0.782430213,0.777504105
GCF_002355655.1,Halorubrum trapanicum,0.916451969,0.685628743,0.739853626,0.74251497,0.78908849,0.838323353,0.840319361,0.864936793,0.863273453,0.870924817,0.873253493,0.872920825,0.888223553,0.875582169,0.886227545,0.878576181,0.883566201,0.897538257,0.885894877,0.891550233,0.884896873,0.894876913,0.898203593,0.896872921,0.894876913,0.892880905,0.905189621,0.910179641,0.89484193
GCF_024662215.1,Methanoplanus endosymbiosus,0.421365142,0.286461968,0.284019539,0.281926029,0.317515701,0.338101884,0.363572924,0.364619679,0.370900209,0.369853454,0.393579902,0.393928821,0.401953943,0.389043964,0.414166085,0.394626657,0.414515003,0.413817167,0.403698535,0.397418004,0.416259595,0.399860433,0.399860433,0.402651779,0.396022331,0.39965096,0.396160558,0.403839442,0.384293194
GCF_003052125.1,Methanococcus maripaludis,0.249497386,0.198689956,0.221069869,0.231441048,0.238537118,0.227074236,0.23580786,0.28930131,0.259825328,0.253275109,0.299672489,0.269104803,0.255458515,0.274017467,0.245633188,0.267467249,0.262008734,0.271982523,0.244128891,0.260513381,0.268159476,0.263790279,0.252321136,0.274167122,0.269251775,0.238121245,0.247951939,0.240305844,0.253413435
