Accession,Species,Core_GC,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1,Methanobacterium formicicum,0.443612623512805,0.32863849765258446,0.32201049433858275,0.33070974868820874,0.33954708644021114,0.3387185860259612,0.3693731013532185,0.3998895332781016,0.3960231980116003,0.3978182822424768,0.4124551228942302,0.4164595415631047,0.40568903617785257,0.42004971002485547,0.42308754487710676,0.417011875172605,0.4203258768296056,0.43012979839823373,0.41797845898922975,0.4280585473626072,0.41949737641535556,0.427230046948358,0.41632145816073,0.415803287746927,0.420638209697473,0.41994750656168,0.4349087893864012,0.4307628524046447,0.41818684355997876
GCF_022846155.1,Methanobrevibacter smithii,0.3304615162037037,0.25280567040755864,0.22996652884425936,0.24197676708013247,0.2537901161645976,0.2533963378617826,0.2815514865130919,0.29848395353415896,0.3057688521362462,0.2978932860799356,0.3083284111045474,0.31482575310100275,0.3075408544989154,0.3175822012207115,0.3189604252805658,0.3067532978932844,0.33018310691080954,0.3199448710376052,0.3197479818861969,0.31285686158692544,0.3160070880094502,0.3416026776924594,0.3327426658791095,0.32368576491435247,0.3142350856467797,0.31718842291789634,0.3167946446150805,0.32171687340027477,0.30537507383343004
GCF_001889405.1,Methanohalophilus halophilus,0.4380520814452299,0.35694512294414743,0.3639472398632168,0.3385442110405489,0.3629702002931138,0.35482820387559205,0.36524995929001897,0.38430223090702037,0.4072626608044305,0.4157303370786522,0.42159257449926846,0.41068229929978867,0.4176844162188578,0.42387233349617487,0.43380556912555074,0.44618140368018405,0.4315258101286441,0.42892037127503774,0.4347826086956531,0.4294088910600898,0.4255007327796791,0.4364110079791576,0.4372252076209098,0.4380394072626623,0.4429246051131749,0.42794333170493576,0.4464547677261625,0.43700081499592575,0.4264058679706615
GCF_026684035.1,Methanogenium organophilum,0.517136563876652,0.39294644032109716,0.4268982760889596,0.4054480852743798,0.42939860507961736,0.4463745229635483,0.46203447822081795,0.47901039610475066,0.47624687458876064,0.4882221344913799,0.5015133570206589,0.5125674430846153,0.499539413080668,0.48572180550072247,0.5008553757073287,0.5059876299513077,0.5050664561126453,0.4945387550993533,0.5073035925779698,0.5063824187393055,0.5065140150019732,0.5115146729832868,0.5080931701539662,0.5005921831819965,0.5057925223801993,0.504870984728804,0.503949447077407,0.505792522380199,0.5076355976829897
GCF_019263745.1,Methanospirillum hungatei,0.4335500599868416,0.35578529657477126,0.39452798663325034,0.38596491228070146,0.3862781954887207,0.40121136173767746,0.40455304928988944,0.422827903091059,0.42136591478696533,0.4182330827067667,0.4191729323308263,0.42481203007518675,0.4218880534670003,0.4283625730994154,0.43525480367585595,0.4223057644110268,0.4306599832915622,0.4216791979949864,0.43525480367585445,0.4317042606516286,0.4283625730994133,0.4425647451963232,0.43894286012744044,0.43539120442912294,0.435809046275984,0.4330930742713872,0.4324239573534016,0.436814048290998,0.4303334378593066
GCF_019669945.1,Methanosarcina mazei,0.4441591958706873,0.36214101538187954,0.365164043744998,0.3525384546990284,0.36427491775584564,0.3682759847070321,0.3664977327287263,0.39228238641415414,0.4139770605494781,0.40624166444384935,0.4127322841646643,0.4240241842269045,0.4207344180670389,0.421979194451853,0.4284698141726686,0.43122610473904016,0.4197563794789709,0.41628878812127423,0.4362326574172891,0.43365350409107,0.4311004359042775,0.4458088627869734,0.4427834134187572,0.4309485673607396,0.4402028830752791,0.4353977576081153,0.4396973742768123,0.4425456163773907,0.428215398308856
GCF_037094595.1,Halobacterium salinarum,0.676225562432459,0.5806914546640595,0.6091324200913287,0.6083496412263579,0.6148727984344444,0.6337899543379024,0.643835616438359,0.6542726679713028,0.6720156555773051,0.6697977821265532,0.661709067188524,0.667579908675804,0.6634050880626267,0.6617090671885255,0.664970645792569,0.6669275929549962,0.6748858447488646,0.6657534246575403,0.6703196347032018,0.6737116764514087,0.6755381604696712,0.6742335290280546,0.6714938030006572,0.6768427919112897,0.6692759295499086,0.6683633516053314,0.667710780475077,0.6720177499347482,0.6677107804750767
GCF_029232225.1,Haloferax volcanii,0.6712412671069001,0.565530688368942,0.6035944387928133,0.5987622923024772,0.6099525262800948,0.6234316717531388,0.6421668362156651,0.6586978636826029,0.6737029501525916,0.6603085791793804,0.6631909121736167,0.6637843336724296,0.6662427941675124,0.6655645981688675,0.6664123431671727,0.6667514411664949,0.6582739911834505,0.6741268226517445,0.6648016276703929,0.6723465581553055,0.6727704306544587,0.6739572736520831,0.6787077079623498,0.6765878063257811,0.6745527007546824,0.6768421945221729,0.6656491138811134,0.6720088187908079,0.6749766810819939
GCF_009729015.1,Acidianus ambivalens,0.34819109921696895,0.3311530075670145,0.3287161728870105,0.3190970886238321,0.31114531229960457,0.3225599589585768,0.323329485699631,0.3412851096575625,0.34320892651019896,0.3641144029755059,0.3435936898807251,0.3446197255354649,0.34090034628703547,0.3474413235859971,0.33038348082596036,0.34795434141336573,0.34615877901757297,0.3401308195459809,0.34552219656146,0.32653323069027684,0.34244290479856565,0.3475750577367237,0.3360287511230926,0.3445043656908081,0.346687211093993,0.33911145351823524,0.3402670775552157,0.3400102722136641,0.347457627118647
GCF_002215485.1,Sulfolobus acidocaldarius,0.3769826517967782,0.3525189786059358,0.3392684610075926,0.35458937198067825,0.3363699102829553,0.3340234644582484,0.3537612146307809,0.35293305728088387,0.3555555555555575,0.36742581090407306,0.37046238785369306,0.3603864734299536,0.35983436853002165,0.3663216011042121,0.3661835748792282,0.36645962732919435,0.3635610766045567,0.3667356797791602,0.36728778467909,0.36521739130434977,0.36535541752933137,0.36549344375431414,0.36494133885438407,0.3660455486542447,0.356807511737091,0.36702568351284315,0.3653686826843429,0.3664733499033419,0.36745406824147114
