Accession,Species,Core_GC3,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1,Methanobacterium formicicum,0.4498638838475499,0.27257663628831813,0.29494614747307374,0.3148301574150787,0.316072908036454,0.3144159072079536,0.3487986743993372,0.37862468931234466,0.35252692626346316,0.3624689312344656,0.39395194697597347,0.3980944490472245,0.3877381938690969,0.4072079536039768,0.4113504556752278,0.396023198011599,0.4009942004971003,0.4146644573322287,0.40016570008285,0.3989229494614747,0.40430820215410107,0.40472245236122617,0.40265120132560067,0.403646912556983,0.39618731869042684,0.4044757563199337,0.42122719734660036,0.412106135986733,0.42330016583747926
GCF_022846155.1,Methanobrevibacter smithii,0.21332465277777776,0.12285883047844064,0.13762551683402244,0.1529828706438275,0.14294152392203188,0.16125221500295334,0.17365623154164206,0.18428824571766095,0.18251624335499114,0.1724748966331955,0.19019492025989368,0.1984642646190195,0.19373892498523332,0.18487891317188423,0.21618428824571767,0.19551092734790312,0.21204961606615474,0.21382161842882458,0.20850561134081513,0.19373892498523332,0.19019492025989368,0.19669226225634967,0.19551092734790312,0.19492025989367986,0.20082693443591257,0.1984642646190195,0.17779090372120496,0.18960425280567042,0.1854695806261075
GCF_001889405.1,Methanohalophilus halophilus,0.4104042051839768,0.25842696629213485,0.31998045920859797,0.30972154372252075,0.3102100635075721,0.32193453834880315,0.33854421104054716,0.36248168050806057,0.3727405959941378,0.38348803126526626,0.37469467513434296,0.3639472398632145,0.39228138739618956,0.40302882266731804,0.40302882266731804,0.4059599413776258,0.40937957987298484,0.4167073766487543,0.4201270151441133,0.40058622374206154,0.39960918417195895,0.4049829018075232,0.4000977039570103,0.4025403028822667,0.424523693209575,0.38641914997557403,0.42053789731051344,0.3960880195599022,0.4083129584352078
GCF_026684035.1,Methanogenium organophilum,0.5513509544787077,0.35254638768258983,0.39834188709040663,0.3868930122384524,0.4208448480063166,0.4472956968022108,0.4575602052901698,0.488748519542045,0.4686142913541255,0.48637978681405447,0.526253454401895,0.5171733122779313,0.5061192262139755,0.5041452822739834,0.5361231741018555,0.5286221871298855,0.5199368337939203,0.5302013422818792,0.5302013422818792,0.5254638768258981,0.5195420450059218,0.5171733122779313,0.5136202131859455,0.5116462692459535,0.5086887835703001,0.5244865718799369,0.5082938388625592,0.509083728278041,0.5268562401263823
GCF_019263745.1,Methanospirillum hungatei,0.3755485893416928,0.3032581453634085,0.32048872180451127,0.3348997493734336,0.35964912280701755,0.36654135338345867,0.37719298245614036,0.3856516290726817,0.37781954887218044,0.36152882205513787,0.3931704260651629,0.3815789473684211,0.3825187969924812,0.3956766917293233,0.38972431077694236,0.38533834586466165,0.3865914786967419,0.38596491228070173,0.3825187969924812,0.3743734335839599,0.37092731829573933,0.38878446115288223,0.3816985271074898,0.3726104669382639,0.3760576621748668,0.3675963647759323,0.37503919724051427,0.38381937911571024,0.37848855440576984
GCF_019669945.1,Methanosarcina mazei,0.4350957620211899,0.28380901573753003,0.32381968524939986,0.3291544411843158,0.34622566017604695,0.34729261136303013,0.33208855694851963,0.3619631901840491,0.38623632968791677,0.3982395305414777,0.383302213923713,0.3905041344358496,0.4027740730861563,0.4062416644438517,0.41504401173646305,0.4030408108829021,0.4113096825820219,0.38783675646839155,0.4276947705442903,0.41782283884738525,0.4182012276487857,0.42899092365189534,0.4241857981847304,0.40923651895355045,0.3985584623598505,0.41537640149492794,0.3978638184245661,0.41682242990654206,0.40373831775700936
GCF_037094595.1,Halobacterium salinarum,0.8690097259062777,0.6125244618395304,0.711545988258317,0.6900195694716242,0.724853228962818,0.763600782778865,0.7706457925636008,0.7851272015655577,0.8027397260273973,0.7996086105675146,0.7984344422700587,0.8046966731898239,0.7992172211350294,0.8062622309197651,0.8046966731898239,0.7972602739726027,0.8211350293542075,0.8176125244618395,0.8223091976516634,0.8246575342465754,0.8305283757338552,0.8293542074363992,0.8227005870841487,0.8293542074363992,0.8446183953033268,0.8296789350039154,0.8441660140955364,0.8504306969459671,0.8335943617854347
GCF_029232225.1,Haloferax volcanii,0.8725045458895588,0.6098677517802645,0.703204476093591,0.6904883011190234,0.71617497456765,0.7665310274669379,0.7670396744659207,0.8097660223804679,0.8087487283825026,0.8041709053916581,0.8001017293997965,0.8087487283825026,0.8135808748728383,0.8186673448626653,0.8123092573753815,0.8334181078331638,0.8189216683621566,0.8354526958290946,0.8260427263479145,0.8303662258392676,0.83646998982706,0.8385045778229908,0.8425337064360213,0.8458407529890614,0.8455863647926736,0.8466039175782244,0.8326125667769015,0.8458407529890614,0.8450775883998982
GCF_009729015.1,Acidianus ambivalens,0.2742194469223907,0.2666410157752982,0.3081954597922278,0.24932666410157753,0.2681800692574067,0.2520200076952674,0.26279338207002695,0.2816467872258561,0.28780300115429014,0.29896113889957676,0.27318199307425933,0.2727972297037322,0.2554828780300115,0.2808772604848018,0.2693343593689881,0.28703347441323585,0.278183916891112,0.2716429395921508,0.2640492686682063,0.25057736720554274,0.2890685142417244,0.270977675134719,0.2606854062379669,0.2711864406779661,0.2812018489984592,0.26887519260400616,0.2665639445300462,0.2785053929121726,0.2896764252696456
GCF_002215485.1,Sulfolobus acidocaldarius,0.3379182156133829,0.2981366459627329,0.3225672877846791,0.31180124223602484,0.3022774327122153,0.3031055900621118,0.3084886128364389,0.3022774327122153,0.3122153209109731,0.3175983436853002,0.3325051759834369,0.3217391304347826,0.31387163561076603,0.3204968944099379,0.3196687370600414,0.32546583850931676,0.33043478260869563,0.31925465838509315,0.31635610766045547,0.3184265010351967,0.3146997929606625,0.33043478260869563,0.3175983436853002,0.3325051759834369,0.3156586578293289,0.32891466445733225,0.31897265948632975,0.32891466445733225,0.30998756734355576
