Accession Number, Predicted Optimum Growth Temperature
GCF_001458655.1, 44.35 ℃
GCF_022846155.1, 37.96 ℃
GCF_001889405.1, 45.18 ℃
GCF_026684035.1, 38.78 ℃
GCF_019263745.1, 43.41 ℃
GCF_019669945.1, 43.31 ℃
GCF_037094595.1, 45.46 ℃
GCF_029232225.1, 43.98 ℃
GCF_009729015.1, 80.86 ℃
GCF_002215485.1, 73.82 ℃
GCF_019175305.1, 82.49 ℃
GCF_900079115.1, 82.83 ℃
GCF_902384015.1, 45.10 ℃
GCF_000275865.1, 43.37 ℃
GCF_002355655.1, 44.97 ℃
GCF_024662215.1, 44.62 ℃
GCF_014969745.1, 45.11 ℃
GCF_003052125.1, 43.19 ℃
GCF_019669925.1, 41.39 ℃
GCF_002761295.1, 43.84 ℃
GCF_003201835.2, 70.85 ℃
GCF_009729035.1, 82.23 ℃
GCF_025449255.1, 57.47 ℃
GCF_028472005.1, 81.61 ℃
GCF_023169565.1, 82.86 ℃
GCF_005222525.1, 83.19 ℃
GCF_002214585.1, 89.41 ℃
GCF_001592435.1, 89.11 ℃
GCF_002214465.1, 87.53 ℃
GCF_014962245.1, 93.22 ℃
GCF_036323395.1, 102.48 ℃
GCF_900012635.1, 97.67 ℃
GCF_001433455.1, 86.97 ℃
GCF_004803735.1, 44.71 ℃
GCF_002813695.1, 42.79 ℃
GCF_010692885.1, 48.68 ℃
GCF_004799645.1, 45.62 ℃
GCF_000006805.1, 45.64 ℃
GCF_000009965.1, 89.16 ℃
GCF_005890195.1, 44.05 ℃
GCF_042851265.1, 77.55 ℃
GCF_000011105.1, 94.78 ℃
GCF_002214385.1, 89.37 ℃
GCF_002214485.1, 87.13 ℃
GCF_002214505.1, 86.93 ℃
GCF_031201105.1, 52.89 ℃
GCF_000145295.1, 61.55 ℃
GCF_900036045.1, 42.97 ℃
GCF_005576615.1, 46.41 ℃
GCF_020844815.1, 52.92 ℃
GCF_024022995.1, 90.55 ℃
GCF_001006045.1, 85.44 ℃
GCF_900095295.1, 44.30 ℃
GCF_019669965.1, 44.35 ℃
GCF_031165565.1, 45.39 ℃
GCF_002214525.1, 82.96 ℃
GCF_017357525.1, 40.10 ℃
GCF_025397995.1, 59.25 ℃
GCF_027555045.1, 61.10 ℃
GCF_027555065.1, 61.54 ℃
GCF_000265525.1, 86.63 ℃
GCF_000265525.1, 86.63 ℃
GCF_963667985.1, 42.90 ℃
GCF_000007225.1, 101.80 ℃
GCF_022870485.1, 41.81 ℃
GCF_022870485.1, 41.81 ℃
GCF_000007305.1, 93.25 ℃
GCF_000008645.1, 60.97 ℃
GCF_002214565.1, 86.89 ℃
GCF_000007345.1, 40.95 ℃
GCF_000007185.1, 74.54 ℃
GCF_000007065.1, 44.54 ℃
GCF_946300405.1, 89.76 ℃
GCF_025914035.1, 44.27 ℃
GCF_036967215.1, 73.16 ℃
GCF_000970205.1, 44.32 ℃
GCF_000970205.1, 44.32 ℃
GCF_021233435.1, 44.29 ℃
GCF_000008665.1, 86.81 ℃
GCF_024508235.1, 42.34 ℃
GCF_000404165.1, 44.39 ℃
GCF_001477655.1, 34.47 ℃
GCF_000091665.1, 83.32 ℃
GCF_000151205.2, 88.88 ℃
GCF_000013725.1, 33.40 ℃
GCF_000013725.1, 33.40 ℃
GCF_000011585.1, 43.31 ℃
GCF_000591055.1, 44.79 ℃
GCF_000011125.1, 99.41 ℃
GCF_000011085.1, 43.11 ℃
GCF_000195935.2, 99.32 ℃
GCF_000007005.1, 82.97 ℃
GCF_000011205.1, 80.11 ℃
GCF_000195915.1, 58.59 ℃
GCF_000011185.1, 63.38 ℃
GCF_002214545.1, 87.99 ℃
GCF_002116695.1, 62.14 ℃
GCF_001563245.1, 37.28 ℃
GCF_019633745.1, 38.21 ℃
GCF_024730625.1, 48.56 ℃
