"Species_Accession","Species","GC3_core","The_mean_GC3_of_the_first_10_codons","Difference_between_core_and_first_10_codons_GC3","Linear_Regression_slope","Difference_First_and_second_codons_GC3","Maximum_GC3_difference_to_core","Where_max_difference","Max_Deviation_From_Core_GC3"
"GCF_001458655.1","Methanobacterium_formicicum","0.44986388384755","0.334921292460646","0.114942591386904","0.00428730655477709","-0.0223695111847556","0.177287247559232","2","-0.177287247559232"
"GCF_022846155.1","Methanobrevibacter_smithii","0.213324652777778","0.162079149438866","0.0512455033389118","0.00183666180364203","-0.0147666863555818","0.0904658222993371","2","-0.0904658222993371"
"GCF_001889405.1","Methanohalophilus_halophilus","0.410404205183977","0.335222276502198","0.0751819286817784","0.00392806914246536","-0.0615534929164632","0.151977238891842","2","-0.151977238891842"
"GCF_026684035.1","Methanogenium_organophilum","0.551350954478708","0.443347808922227","0.108003145556481","0.00438670242077159","-0.0457954994078167","0.198804566796118","2","-0.198804566796118"
"GCF_019263745.1","Methanospirillum_hungatei","0.375548589341693","0.358020050125313","0.0175285392163795","0.00120516554028438","-0.0172305764411028","0.0722904439782843","2","-0.0722904439782843"
"GCF_019669945.1","Methanosarcina_mazei","0.43509576202119","0.3492131234996","0.08588263852159","0.00354797459498931","-0.0400106695118698","0.15128674628366","2","-0.15128674628366"
"GCF_037094595.1","Halobacterium_salinarum","0.869009725906278","0.745909980430528","0.123099745475749","0.00530151492895013","-0.0990215264187867","0.256485264066747","2","-0.256485264066747"
"GCF_029232225.1","Haloferax_volcanii","0.872504545889559","0.747609359104781","0.124895186784778","0.00554233118889045","-0.0933367243133265","0.262636794109294","2","-0.262636794109294"
"GCF_009729015.1","Acidianus_ambivalens","0.274219446922391","0.274874951904579","-0.000655504982187971","4.78682446032671e-05","-0.0415544440169296","0.0339760128698371","3","0.0339760128698371"
"GCF_002215485.1","Sulfolobus_acidocaldarius","0.337918215613383","0.311097308488613","0.0268209071247701","0.000677347101231484","-0.0244306418219462","0.03978156965065","2","-0.03978156965065"
"GCF_019175305.1","Saccharolobus_shibatae","0.318100628930818","0.308226390259954","0.00987423867086368","0.000469459530553509","-0.054294175715696","0.0476169171835323","5","-0.0476169171835323"
"GCF_900079115.1","Saccharolobus_solfataricus","0.329736379613357","0.312899224806202","0.0168371548071552","0.000375809682916991","-0.0567441860465117","0.0460154493807987","2","-0.0460154493807987"
"GCF_902384015.1","Methanosphaera_stadtmanae","0.132179034157833","0.118971061093248","0.0132079730645852","0.00024695090479338","-0.0244372990353698","0.0312144039327524","6","-0.0312144039327524"
"GCF_000275865.1","Methanofollis_liminatans_DSM_4140","0.815542388331814","0.644070578580222","0.171471809751592","0.00712337684377026","-0.0426754205990972","0.268558391614539","2","-0.268558391614539"
"GCF_002355655.1","Halorubrum_trapanicum","0.916451969083548","0.810811709913506","0.105640259170042","0.00511466354843737","-0.0542248835662009","0.230823226568578","2","-0.230823226568578"
"GCF_024662215.1","Methanoplanus_endosymbiosus","0.421365142478463","0.337055129099791","0.0843100133786719","0.00359472723133532","0.00244242847173759","0.139439113169321","4","-0.139439113169321"
"GCF_014969745.1","Haloferax_gibbonsii","0.879907903392538","0.745304568527919","0.13460333486462","0.00605554690042345","-0.0888324873096447","0.267217548062589","2","-0.267217548062589"
"GCF_003052125.1","Methanococcus_maripaludis","0.249497386409329","0.24546943231441","0.00402795409491802","0.000703965756658844","-0.0223799126637555","0.0508074300774508","2","-0.0508074300774508"
"GCF_019669925.1","Methanobrevibacter_arboriphilus","0.140135669869983","0.139920948616601","0.000214721253382261","0.00068680375918433","-0.0118577075098814","0.0337773736082778","11","0.0337773736082778"
"GCF_002761295.1","Methanohalophilus_portucalensis","0.400828047921071","0.329829545454545","0.0709985024665257","0.00384389887347298","-0.0317234848484849","0.134729563072586","2","-0.134729563072586"
"GCF_003201835.2","Acidianus_brierleyi","0.229300499643112","0.243006329113924","-0.013705829470812","-0.000505042385700056","-0.0325949367088608","0.0513957028885336","3","0.0513957028885336"
"GCF_009729035.1","Stygiolobus_azoricus","0.356242424242424","0.320641562064156","0.035600862178268","0.0011916989999987","-0.0237099023709902","0.0549871941169012","4","-0.0549871941169012"
"GCF_025449255.1","Methanococcus_aeolicus","0.224312133513757","0.189137181874612","0.0351749516391453","0.00180077724855574","0.00744878957169462","0.0629216927937077","3","-0.0629216927937077"
"GCF_028472005.1","Sulfolobus_islandicus","0.308418034923117","0.299346180316586","0.00907185460653065","0.000342069313854264","-0.0588437715072264","0.0379431553635851","5","-0.0379431553635851"
"GCF_023169565.1","Metallosphaera_sedula","0.54751902587519","0.451183673469388","0.0963353524058025","0.00404401379059396","-0.029795918367347","0.143845556487435","4","-0.143845556487435"
"GCF_005222525.1","Metallosphaera_prunae","0.545831378069764","0.450486669487939","0.0953447085818247","0.00414751925712366","-0.0317393144308083","0.139568153355418","2","-0.139568153355418"
"GCF_002214585.1","Thermococcus_profundus","0.691169410150892","0.618788163457022","0.0723812466938696","0.00255782553013392","0.0173790511977454","0.105448414378228","4","-0.105448414378228"
"GCF_001592435.1","Thermococcus_peptonophilus","0.654820788530466","0.600292397660819","0.0545283908696472","0.00168157261278272","0.0121832358674464","0.0812340438910898","6","-0.0812340438910898"
"GCF_002214465.1","Thermococcus_barossii","0.728910290708043","0.640098039215686","0.0888122514923572","0.00283581519912628","-0.0259803921568628","0.124498526002161","4","-0.124498526002161"
