Accession,Species,Core_GC3,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1,Methanobacterium formicicum,0.449863884,0.272576636,0.294946147,0.314830157,0.316072908,0.314415907,0.348798674,0.378624689,0.352526926,0.362468931,0.393951947,0.398094449,0.387738194,0.407207954,0.411350456,0.396023198,0.4009942,0.414664457,0.4001657,0.398922949,0.404308202,0.404722452,0.402651201,0.403646913,0.396187319,0.404475756,0.421227197,0.412106136,0.423300166
GCF_022846155.1,Methanobrevibacter smithii,0.213324653,0.12285883,0.137625517,0.152982871,0.142941524,0.161252215,0.173656232,0.184288246,0.182516243,0.172474897,0.19019492,0.198464265,0.193738925,0.184878913,0.216184288,0.195510927,0.212049616,0.213821618,0.208505611,0.193738925,0.19019492,0.196692262,0.195510927,0.19492026,0.200826934,0.198464265,0.177790904,0.189604253,0.185469581
GCF_001889405.1,Methanohalophilus halophilus,0.410404205,0.258426966,0.319980459,0.309721544,0.310210064,0.321934538,0.338544211,0.362481681,0.372740596,0.383488031,0.374694675,0.36394724,0.392281387,0.403028823,0.403028823,0.405959941,0.40937958,0.416707377,0.420127015,0.400586224,0.399609184,0.404982902,0.400097704,0.402540303,0.424523693,0.38641915,0.420537897,0.39608802,0.408312958
GCF_026684035.1,Methanogenium organophilum,0.551350954,0.352546388,0.398341887,0.386893012,0.420844848,0.447295697,0.457560205,0.48874852,0.468614291,0.486379787,0.526253454,0.517173312,0.506119226,0.504145282,0.536123174,0.528622187,0.519936834,0.530201342,0.530201342,0.525463877,0.519542045,0.517173312,0.513620213,0.511646269,0.508688784,0.524486572,0.508293839,0.509083728,0.52685624
GCF_019263745.1,Methanospirillum hungatei,0.375548589,0.303258145,0.320488722,0.334899749,0.359649123,0.366541353,0.377192982,0.385651629,0.377819549,0.361528822,0.393170426,0.381578947,0.382518797,0.395676692,0.389724311,0.385338346,0.386591479,0.385964912,0.382518797,0.374373434,0.370927318,0.388784461,0.381698527,0.372610467,0.376057662,0.367596365,0.375039197,0.383819379,0.378488554
GCF_019669945.1,Methanosarcina mazei,0.435095762,0.283809016,0.323819685,0.329154441,0.34622566,0.347292611,0.332088557,0.36196319,0.38623633,0.398239531,0.383302214,0.390504134,0.402774073,0.406241664,0.415044012,0.403040811,0.411309683,0.387836756,0.427694771,0.417822839,0.418201228,0.428990924,0.424185798,0.409236519,0.398558462,0.415376401,0.397863818,0.41682243,0.403738318
GCF_037094595.1,Halobacterium salinarum,0.869009726,0.612524462,0.711545988,0.690019569,0.724853229,0.763600783,0.770645793,0.785127202,0.802739726,0.799608611,0.798434442,0.804696673,0.799217221,0.806262231,0.804696673,0.797260274,0.821135029,0.817612524,0.822309198,0.824657534,0.830528376,0.829354207,0.822700587,0.829354207,0.844618395,0.829678935,0.844166014,0.850430697,0.833594362
GCF_029232225.1,Haloferax volcanii,0.872504546,0.609867752,0.703204476,0.690488301,0.716174975,0.766531027,0.767039674,0.809766022,0.808748728,0.804170905,0.800101729,0.808748728,0.813580875,0.818667345,0.812309257,0.833418108,0.818921668,0.835452696,0.826042726,0.830366226,0.83646999,0.838504578,0.842533706,0.845840753,0.845586365,0.846603918,0.832612567,0.845840753,0.845077588
GCF_009729015.1,Acidianus ambivalens,0.274219447,0.266641016,0.30819546,0.249326664,0.268180069,0.252020008,0.262793382,0.281646787,0.287803001,0.298961139,0.273181993,0.27279723,0.255482878,0.28087726,0.269334359,0.287033474,0.278183917,0.27164294,0.264049269,0.250577367,0.289068514,0.270977675,0.260685406,0.271186441,0.281201849,0.268875193,0.266563945,0.278505393,0.289676425
GCF_002215485.1,Sulfolobus acidocaldarius,0.337918216,0.298136646,0.322567288,0.311801242,0.302277433,0.30310559,0.308488613,0.302277433,0.312215321,0.317598344,0.332505176,0.32173913,0.313871636,0.320496894,0.319668737,0.325465839,0.330434783,0.319254658,0.316356108,0.318426501,0.314699793,0.330434783,0.317598344,0.332505176,0.315658658,0.328914664,0.318972659,0.328914664,0.309987567
