Accession,Species,Core_GC,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001889405.1,Methanohalophilus halophilus,0.438052081,0.356945123,0.36394724,0.338544211,0.3629702,0.354828204,0.365249959,0.384302231,0.407262661,0.415730337,0.421592574,0.410682299,0.417684416,0.423872333,0.433805569,0.446181404,0.43152581,0.428920371,0.434782609,0.429408891,0.425500733,0.436411008,0.437225208,0.438039407,0.442924605,0.427943332,0.446454768,0.437000815,0.426405868
GCF_037094595.1,Halobacterium salinarum,0.676225562,0.580691455,0.60913242,0.608349641,0.614872798,0.633789954,0.643835616,0.654272668,0.672015656,0.669797782,0.661709067,0.667579909,0.663405088,0.661709067,0.664970646,0.666927593,0.674885845,0.665753425,0.670319635,0.673711676,0.67553816,0.674233529,0.671493803,0.676842792,0.66927593,0.668363352,0.66771078,0.67201775,0.66771078
GCF_002215485.1,Sulfolobus acidocaldarius,0.376982652,0.352518979,0.339268461,0.354589372,0.33636991,0.334023464,0.353761215,0.352933057,0.355555556,0.367425811,0.370462388,0.360386473,0.359834369,0.366321601,0.366183575,0.366459627,0.363561077,0.36673568,0.367287785,0.365217391,0.365355418,0.365493444,0.364941339,0.366045549,0.356807512,0.367025684,0.365368683,0.36647335,0.367454068
GCF_902384015.1,Methanosphaera stadtmanae,0.298076168,0.231296892,0.22550911,0.218006431,0.244801715,0.228510182,0.246302251,0.276312969,0.264523044,0.293676313,0.280385852,0.285101822,0.284673098,0.284030011,0.293890675,0.285101822,0.289389068,0.300107181,0.293676313,0.299249732,0.284458735,0.276312969,0.284244373,0.294533762,0.285744909,0.301607717,0.291747053,0.281457663,0.27545552
GCF_014969745.1,Haloferax gibbonsii,0.673376562,0.568274112,0.600507614,0.594839255,0.606345178,0.623434856,0.639847716,0.659052453,0.673434856,0.65820643,0.661505922,0.66641286,0.670050761,0.664467005,0.671150592,0.669881557,0.661505922,0.67394247,0.669881557,0.676142132,0.673519459,0.674788494,0.683248731,0.679360244,0.678598629,0.67487518,0.677498519,0.675044428,0.682237455
GCF_003201835.2,Acidianus brierleyi,0.324486478,0.31814346,0.316139241,0.307594937,0.296413502,0.308755274,0.327320675,0.330801688,0.316350211,0.332700422,0.334704641,0.316455696,0.337552743,0.325843882,0.321097046,0.319620253,0.319514768,0.325527426,0.328586498,0.315611814,0.328164557,0.325632911,0.323417722,0.317827004,0.318459916,0.318565401,0.322151899,0.324683544,0.322046414
GCF_025449255.1,Methanococcus aeolicus,0.317516163,0.261535278,0.232567763,0.237533623,0.249948272,0.255327954,0.26691496,0.297744672,0.28470929,0.311400786,0.312642251,0.296296296,0.30726257,0.311400786,0.297951583,0.307469481,0.309124767,0.311193875,0.323815436,0.308297124,0.316366646,0.313883716,0.312642251,0.332091868,0.305607283,0.29712394,0.31243534,0.301469067,0.310573143
GCF_010692885.1,Halogeometricum borinquense,0.610684244,0.534034912,0.556669172,0.554414098,0.569030318,0.582226677,0.58707091,0.598596843,0.616971519,0.60502798,0.608619394,0.607617139,0.61237785,0.612127286,0.604860937,0.612878978,0.61438236,0.61237785,0.611292074,0.612461371,0.612294329,0.61371419,0.612628414,0.606698405,0.613213063,0.619894763,0.610790946,0.619310114,0.613547148
GCF_004799645.1,Natronorubrum bangense,0.618948727,0.526710403,0.553655108,0.550609185,0.55920025,0.579584505,0.579350203,0.607388316,0.619259606,0.604342393,0.617463293,0.610121837,0.609340831,0.608716026,0.616057482,0.618166198,0.61316776,0.61316776,0.616447985,0.609731334,0.621368322,0.621524524,0.620821618,0.607388316,0.615510778,0.618322399,0.614183068,0.616291784,0.613948766
GCF_000006805.1,Halobacterium salinarum NRC-1,0.673023886,0.577654321,0.614567901,0.611234568,0.601358025,0.628641975,0.649506173,0.644444444,0.665555556,0.664320988,0.648765432,0.661111111,0.655925926,0.655185185,0.662592593,0.665432099,0.667901235,0.659753086,0.656666667,0.670864198,0.672592593,0.675679012,0.671851852,0.668641975,0.666790123,0.67,0.666296296,0.662345679,0.665432099
