Accession Number, Predicted Optimum Growth Temperature,Accession,Species,Core_GC,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1, 44.35 ℃,GCF_001458655.1,Methanobacterium formicicum,0.443612623512805,0.3286384976525844,0.3220104943385827,0.3307097486882087,0.3395470864402111,0.3387185860259612,0.3693731013532185,0.3998895332781016,0.3960231980116003,0.3978182822424768,0.4124551228942302,0.4164595415631047,0.4056890361778525,0.4200497100248554,0.4230875448771067,0.417011875172605,0.4203258768296056,0.4301297983982337,0.4179784589892297,0.4280585473626072,0.4194973764153555,0.427230046948358,0.41632145816073,0.415803287746927,0.420638209697473,0.41994750656168,0.4349087893864012,0.4307628524046447,0.4181868435599787
GCF_022846155.1, 37.96 ℃,GCF_022846155.1,Methanobrevibacter smithii,0.3304615162037037,0.2528056704075586,0.2299665288442593,0.2419767670801324,0.2537901161645976,0.2533963378617826,0.2815514865130919,0.2984839535341589,0.3057688521362462,0.2978932860799356,0.3083284111045474,0.3148257531010027,0.3075408544989154,0.3175822012207115,0.3189604252805658,0.3067532978932844,0.3301831069108095,0.3199448710376052,0.3197479818861969,0.3128568615869254,0.3160070880094502,0.3416026776924594,0.3327426658791095,0.3236857649143524,0.3142350856467797,0.3171884229178963,0.3167946446150805,0.3217168734002747,0.30537507383343
GCF_001889405.1, 45.18 ℃,GCF_001889405.1,Methanohalophilus halophilus,0.4380520814452299,0.3569451229441474,0.3639472398632168,0.3385442110405489,0.3629702002931138,0.354828203875592,0.3652499592900189,0.3843022309070203,0.4072626608044305,0.4157303370786522,0.4215925744992684,0.4106822992997886,0.4176844162188578,0.4238723334961748,0.4338055691255507,0.446181403680184,0.4315258101286441,0.4289203712750377,0.4347826086956531,0.4294088910600898,0.4255007327796791,0.4364110079791576,0.4372252076209098,0.4380394072626623,0.4429246051131749,0.4279433317049357,0.4464547677261625,0.4370008149959257,0.4264058679706615
GCF_026684035.1, 38.78 ℃,GCF_026684035.1,Methanogenium organophilum,0.517136563876652,0.3929464403210971,0.4268982760889596,0.4054480852743798,0.4293986050796173,0.4463745229635483,0.4620344782208179,0.4790103961047506,0.4762468745887606,0.4882221344913799,0.5015133570206589,0.5125674430846153,0.499539413080668,0.4857218055007224,0.5008553757073287,0.5059876299513077,0.5050664561126453,0.4945387550993533,0.5073035925779698,0.5063824187393055,0.5065140150019732,0.5115146729832868,0.5080931701539662,0.5005921831819965,0.5057925223801993,0.504870984728804,0.503949447077407,0.505792522380199,0.5076355976829897
GCF_019263745.1, 43.41 ℃,GCF_019263745.1,Methanospirillum hungatei,0.4335500599868416,0.3557852965747712,0.3945279866332503,0.3859649122807014,0.3862781954887207,0.4012113617376774,0.4045530492898894,0.422827903091059,0.4213659147869653,0.4182330827067667,0.4191729323308263,0.4248120300751867,0.4218880534670003,0.4283625730994154,0.4352548036758559,0.4223057644110268,0.4306599832915622,0.4216791979949864,0.4352548036758544,0.4317042606516286,0.4283625730994133,0.4425647451963232,0.4389428601274404,0.4353912044291229,0.435809046275984,0.4330930742713872,0.4324239573534016,0.436814048290998,0.4303334378593066
GCF_019669945.1, 43.31 ℃,GCF_019669945.1,Methanosarcina mazei,0.4441591958706873,0.3621410153818795,0.365164043744998,0.3525384546990284,0.3642749177558456,0.3682759847070321,0.3664977327287263,0.3922823864141541,0.4139770605494781,0.4062416644438493,0.4127322841646643,0.4240241842269045,0.4207344180670389,0.421979194451853,0.4284698141726686,0.4312261047390401,0.4197563794789709,0.4162887881212742,0.4362326574172891,0.43365350409107,0.4311004359042775,0.4458088627869734,0.4427834134187572,0.4309485673607396,0.4402028830752791,0.4353977576081153,0.4396973742768123,0.4425456163773907,0.428215398308856
GCF_037094595.1, 45.46 ℃,GCF_037094595.1,Halobacterium salinarum,0.676225562432459,0.5806914546640595,0.6091324200913287,0.6083496412263579,0.6148727984344444,0.6337899543379024,0.643835616438359,0.6542726679713028,0.6720156555773051,0.6697977821265532,0.661709067188524,0.667579908675804,0.6634050880626267,0.6617090671885255,0.664970645792569,0.6669275929549962,0.6748858447488646,0.6657534246575403,0.6703196347032018,0.6737116764514087,0.6755381604696712,0.6742335290280546,0.6714938030006572,0.6768427919112897,0.6692759295499086,0.6683633516053314,0.667710780475077,0.6720177499347482,0.6677107804750767
GCF_029232225.1, 43.98 ℃,GCF_029232225.1,Haloferax volcanii,0.6712412671069001,0.565530688368942,0.6035944387928133,0.5987622923024772,0.6099525262800948,0.6234316717531388,0.6421668362156651,0.6586978636826029,0.6737029501525916,0.6603085791793804,0.6631909121736167,0.6637843336724296,0.6662427941675124,0.6655645981688675,0.6664123431671727,0.6667514411664949,0.6582739911834505,0.6741268226517445,0.6648016276703929,0.6723465581553055,0.6727704306544587,0.6739572736520831,0.6787077079623498,0.6765878063257811,0.6745527007546824,0.6768421945221729,0.6656491138811134,0.6720088187908079,0.6749766810819939
GCF_009729015.1, 80.86 ℃,GCF_009729015.1,Acidianus ambivalens,0.3481910992169689,0.3311530075670145,0.3287161728870105,0.3190970886238321,0.3111453122996045,0.3225599589585768,0.323329485699631,0.3412851096575625,0.3432089265101989,0.3641144029755059,0.3435936898807251,0.3446197255354649,0.3409003462870354,0.3474413235859971,0.3303834808259603,0.3479543414133657,0.3461587790175729,0.3401308195459809,0.34552219656146,0.3265332306902768,0.3424429047985656,0.3475750577367237,0.3360287511230926,0.3445043656908081,0.346687211093993,0.3391114535182352,0.3402670775552157,0.3400102722136641,0.347457627118647
GCF_002215485.1, 73.82 ℃,GCF_002215485.1,Sulfolobus acidocaldarius,0.3769826517967782,0.3525189786059358,0.3392684610075926,0.3545893719806782,0.3363699102829553,0.3340234644582484,0.3537612146307809,0.3529330572808838,0.3555555555555575,0.367425810904073,0.370462387853693,0.3603864734299536,0.3598343685300216,0.3663216011042121,0.3661835748792282,0.3664596273291943,0.3635610766045567,0.3667356797791602,0.36728778467909,0.3652173913043497,0.3653554175293313,0.3654934437543141,0.364941338854384,0.3660455486542447,0.356807511737091,0.3670256835128431,0.3653686826843429,0.3664733499033419,0.3674540682414711
