Accession Number, Predicted Optimum Growth Temperature
GCF_032594095.1, 28.94 ℃
GCF_032594115.1, 40.25 ℃
GCF_032594355.1, 39.96 ℃
GCF_029490015.1, 43.13 ℃
GCF_029338555.1, 40.86 ℃
GCF_030127125.1, 41.72 ℃
GCF_030127165.1, 41.94 ℃
GCF_030127145.1, 43.65 ℃
GCF_029814175.1, 45.41 ℃
GCF_029338195.1, 42.91 ℃
GCF_029489995.1, 43.24 ℃
GCF_029278565.1, 45.79 ℃
GCF_029338215.1, 43.93 ℃
GCF_029338575.1, 43.84 ℃
GCF_029338235.1, 46.60 ℃
GCF_029338255.1, 42.93 ℃
GCF_030127105.1, 44.24 ℃
GCF_029338275.1, 45.01 ℃
GCF_029338295.1, 43.66 ℃
GCF_029338315.1, 43.06 ℃
GCF_029338335.1, 48.33 ℃
GCF_029338355.1, 43.63 ℃
GCF_029338375.1, 48.81 ℃
GCF_029338395.1, 49.25 ℃
GCF_029338515.1, 34.70 ℃
GCF_029854155.1, 56.43 ℃
GCF_030273315.1, 49.19 ℃
GCF_030505615.1, 44.95 ℃
GCF_033097485.1, 98.25 ℃
GCF_030734285.1, 46.82 ℃
GCF_031312535.1, 34.47 ℃
GCF_031312595.1, 33.34 ℃
GCF_038024865.1, 56.34 ℃
GCF_032116555.1, 40.87 ℃
GCF_040025155.1, 43.29 ℃
GCF_032113415.1, 44.57 ℃
GCF_035621495.1, 87.21 ℃
GCF_035666295.1, 46.43 ℃
GCF_036584055.1, 46.73 ℃
GCF_036429475.1, 48.70 ℃
GCF_037198285.1, 49.39 ℃
GCF_038022665.1, 32.66 ℃
GCF_037338445.1, 42.86 ℃
GCF_037335815.1, 41.56 ℃
GCF_037914945.1, 46.02 ℃
GCF_038446525.1, 32.31 ℃
GCF_040435975.1, 45.06 ℃
GCF_041228365.1, 61.12 ℃
GCF_041530035.1, 44.92 ℃
