Accession,Species,Core_GC,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_009729015.1,Acidianus ambivalens,0.348191099,0.331153008,0.328716173,0.319097089,0.311145312,0.322559959,0.323329486,0.34128511,0.343208927,0.364114403,0.34359369,0.344619726,0.340900346,0.347441324,0.330383481,0.347954341,0.346158779,0.34013082,0.345522197,0.326533231,0.342442905,0.347575058,0.336028751,0.344504366,0.346687211,0.339111454,0.340267078,0.340010272,0.347457627
GCF_019175305.1,Saccharolobus shibatae,0.362981132,0.351760448,0.346495558,0.334759241,0.324119776,0.331688055,0.357135022,0.348689262,0.353954152,0.36931008,0.355160689,0.351760448,0.354831633,0.351650762,0.35329604,0.357683449,0.353186355,0.3558188,0.362619283,0.364593616,0.357683449,0.362619283,0.362399912,0.36678732,0.359986838,0.341779094,0.362509597,0.352418559,0.368114988
GCF_900079115.1,Saccharolobus solfataricus,0.366557313,0.350180879,0.343255814,0.344186047,0.328578811,0.330439276,0.361757106,0.350387597,0.359276486,0.370645995,0.354108527,0.356485788,0.355348837,0.36754522,0.351937984,0.357932817,0.362170543,0.356485788,0.35751938,0.363617571,0.360310078,0.353591731,0.351731266,0.360206718,0.354521964,0.343152455,0.360723514,0.351943755,0.356810425
GCF_009729035.1,Stygiolobus azoricus,0.384554113,0.36339687,0.340771734,0.344181001,0.344800868,0.355958469,0.351774369,0.365411437,0.36851077,0.366806137,0.378118704,0.372539904,0.373314737,0.374244537,0.361537269,0.376414071,0.369285604,0.373643411,0.383410853,0.365271318,0.375193798,0.380930233,0.366371956,0.372576392,0.381107492,0.363269738,0.384675043,0.377539941,0.387156817
GCF_028472005.1,Sulfolobus islandicus,0.35800973,0.338839183,0.339527415,0.335283322,0.322551044,0.324845148,0.348359716,0.346639137,0.357650837,0.357077311,0.350997935,0.346180317,0.347097958,0.360518468,0.346753843,0.346065611,0.348474421,0.355012618,0.354209681,0.355930259,0.349047947,0.354553797,0.361321404,0.35502008,0.346643718,0.348938612,0.358471074,0.345045355,0.362278888
GCF_023169565.1,Metallosphaera sedula,0.475606291,0.399183673,0.413197279,0.394557823,0.405306122,0.416734694,0.42707483,0.444217687,0.446666667,0.451020408,0.463945578,0.456326531,0.46244898,0.458639456,0.454285714,0.46244898,0.459591837,0.468571429,0.463809524,0.468707483,0.455646259,0.469387755,0.45877551,0.460816327,0.458095238,0.461632653,0.470884354,0.467619048,0.463265306
GCF_005222525.1,Metallosphaera prunae,0.47606236,0.394413881,0.416278742,0.399492171,0.405981097,0.422908732,0.428269149,0.446043165,0.444632529,0.452955283,0.462406545,0.451826774,0.465509945,0.461278036,0.451403583,0.469177599,0.465792072,0.466074199,0.465933136,0.469177599,0.459162082,0.471293553,0.457046128,0.464804627,0.458174637,0.467484836,0.471716744,0.468472281,0.467908027
GCF_002214585.1,Thermococcus profundus,0.542901235,0.533583842,0.504149053,0.483012369,0.476279944,0.486143729,0.497729764,0.512760294,0.512603726,0.523250352,0.506341005,0.524972601,0.529356505,0.529199937,0.520118992,0.523876624,0.529982778,0.541255676,0.531705026,0.53295757,0.542195084,0.546265853,0.53530609,0.529826209,0.542038516,0.539003759,0.544172932,0.538533835,0.528665414
GCF_001592435.1,Thermococcus peptonophilus,0.526827957,0.514944769,0.49382716,0.467024042,0.467836257,0.474333983,0.484080572,0.488466537,0.507147498,0.512020793,0.50617284,0.513320338,0.50568551,0.519818064,0.509909032,0.51185835,0.51705653,0.52322937,0.52014295,0.51754386,0.52842755,0.522904483,0.520305393,0.517218973,0.512508122,0.529402209,0.529402209,0.524691358,0.520630279
GCF_002214465.1,Thermococcus barossii,0.560115332,0.515196078,0.522875817,0.484150327,0.493627451,0.490686275,0.506862745,0.523202614,0.527614379,0.530555556,0.524509804,0.535130719,0.542810458,0.539869281,0.541993464,0.540359477,0.54624183,0.556045752,0.553104575,0.547222222,0.551797386,0.552287582,0.543954248,0.541339869,0.545424837,0.557352941,0.557352941,0.549673203,0.543627451
