"Species_Accession","Species","GC_core","The_mean_GC_of_the_first_10_codons","Difference_between_core_and_first_10_codons_GC","Linear_Regression_slope","Difference_First_and_second_codons_GC","Maximum_difference_to_core","Where_max_difference","Max_Deviation_From_Core_GC"
"GCF_001458655.1","Methanobacterium_formicicum","0.443612623512805","0.363518365092518","0.0800942584202874","0.00343101673514722","0.00662800331400171","0.121602129174222","3","-0.121602129174222"
"GCF_022846155.1","Methanobrevibacter_smithii","0.330461516203704","0.272396140972631","0.0580653752310726","0.00265284335782139","0.0228391415632993","0.100494987359444","3","-0.100494987359444"
"GCF_001889405.1","Methanohalophilus_halophilus","0.43805208144523","0.377137274059601","0.0609148073856289","0.00315013274913291","-0.00700211691906938","0.099507870404681","4","-0.099507870404681"
"GCF_026684035.1","Methanogenium_organophilum","0.517136563876652","0.450809317015397","0.0663272468612549","0.00313889691624548","-0.0339518357678624","0.124190123555555","2","-0.124190123555555"
"GCF_019263745.1","Methanospirillum_hungatei","0.433550059986842","0.400992063492063","0.0325579964947788","0.00184102584914384","-0.0387426900584791","0.0777647634120703","2","-0.0777647634120703"
"GCF_019669945.1","Methanosarcina_mazei","0.444159195870687","0.380412554458966","0.0637466414117217","0.00301347526933067","-0.00302302836311846","0.0916207411716589","4","-0.0916207411716589"
"GCF_037094595.1","Halobacterium_salinarum","0.676225562432459","0.634846705805614","0.0413788566268453","0.00214525649634915","-0.0284409654272693","0.0955341077683995","2","-0.0955341077683995"
"GCF_029232225.1","Haloferax_volcanii","0.6712412671069","0.629933875890132","0.0413073912167679","0.0024985074593989","-0.0380637504238712","0.105710578737958","2","-0.105710578737958"
"GCF_009729015.1","Acidianus_ambivalens","0.348191099216969","0.332820315505966","0.0153707837110028","0.000612010329267498","0.002436834680004","0.0370457869173644","5","-0.0370457869173644"
"GCF_002215485.1","Sulfolobus_acidocaldarius","0.376982651796778","0.35169082125604","0.0252918305407383","0.000838078006542121","0.0132505175983432","0.0429591873385298","6","-0.0429591873385298"
"GCF_019175305.1","Saccharolobus_shibatae","0.362981132075472","0.34730722825491","0.0156739038205613","0.000718332299719282","0.00526488976637013","0.0388613558332838","5","-0.0388613558332838"
"GCF_900079115.1","Saccharolobus_solfataricus","0.3665573130248","0.349281653746771","0.0172756592780284","0.000439286120978608","0.00692506459948261","0.0379785016552885","5","-0.0379785016552885"
"GCF_902384015.1","Methanosphaera_stadtmanae","0.298076168040832","0.250932475884243","0.047143692156589","0.00209814777636065","0.00578778135048202","0.0800697371726658","4","-0.0800697371726658"
"GCF_000275865.1","Methanofollis_liminatans_DSM_4140","0.629940241061481","0.543974832444263","0.0859654086172179","0.00412960628575236","-0.0497879906989475","0.151072781069688","2","-0.151072781069688"
"GCF_002355655.1","Halorubrum_trapanicum","0.697791682002208","0.662974051896216","0.0348176301059927","0.0023682704122942","-0.0288312264360175","0.102094188101115","2","-0.102094188101115"
"GCF_024662215.1","Methanoplanus_endosymbiosus","0.437437596642368","0.374273086764365","0.0631645098780032","0.00301863704907101","0.0197720400093049","0.100615079777979","4","-0.100615079777979"
"GCF_014969745.1","Haloferax_gibbonsii","0.673376562353162","0.628544839255499","0.0448317230976635","0.00274909741832221","-0.0322335025380688","0.105102450678032","2","-0.105102450678032"
"GCF_003052125.1","Methanococcus_maripaludis","0.340550864495376","0.305458515283842","0.0350923492115344","0.00202112023822973","0.010553129548763","0.0721738630397744","3","-0.0721738630397744"
"GCF_019669925.1","Methanobrevibacter_arboriphilus","0.292921298913385","0.253787878787877","0.0391334201255076","0.00226101671388573","0.0220685111989457","0.0761887560938873","3","-0.0761887560938873"
"GCF_002761295.1","Methanohalophilus_portucalensis","0.433779657035471","0.37348484848485","0.0602948085506209","0.00327599377994641","-0.00205176767676835","0.0988680408738538","4","-0.0988680408738538"
"GCF_003201835.2","Acidianus_brierleyi","0.324486477912602","0.318892405063294","0.00559407284930774","0.000251337809885474","0.00200421940928341","0.028072975802894","5","-0.028072975802894"
"GCF_009729035.1","Stygiolobus_azoricus","0.384554112554112","0.357973035797305","0.0265810767568077","0.00108151209614886","0.0226251355958473","0.0437823784769379","3","-0.0437823784769379"
"GCF_025449255.1","Methanococcus_aeolicus","0.31751616298301","0.271032484998964","0.0464836779840456","0.00228119472344345","0.0289675150010342","0.0849483996889904","3","-0.0849483996889904"
"GCF_028472005.1","Sulfolobus_islandicus","0.358009729823647","0.342177104840563","0.015832624983084","0.000699904679459767","-0.0006882312457","0.0354586860062543","5","-0.0354586860062543"
"GCF_023169565.1","Metallosphaera_sedula","0.47560629122273","0.426190476190477","0.0494158150322523","0.00217344508339653","-0.0140136054421767","0.081048468093476","4","-0.081048468093476"
"GCF_005222525.1","Metallosphaera_prunae","0.476062359872778","0.427338129496404","0.0487242303763735","0.00221944391525433","-0.0218648610523349","0.0816484792125982","2","-0.0816484792125982"
"GCF_002214585.1","Thermococcus_profundus","0.542901234567901","0.503585407859715","0.0393158267081867","0.00171201166634768","0.0294347894159996","0.0666212909323911","5","-0.0666212909323911"
"GCF_001592435.1","Thermococcus_peptonophilus","0.526827956989247","0.491585445094217","0.0352425118950303","0.00160763824032951","0.0211176088369067","0.0598039154038008","4","-0.0598039154038008"
"GCF_002214465.1","Thermococcus_barossii","0.560115332025444","0.511928104575163","0.0481872274502817","0.00199102366849707","-0.0076797385620907","0.0759650052280584","4","-0.0759650052280584"
