Accession,Species,Core_GC,codon_2,codon_3,codon_4,codon_5,codon_6,codon_7,codon_8,codon_9,codon_10,codon_11,codon_12,codon_13,codon_14,codon_15,codon_16,codon_17,codon_18,codon_19,codon_20,codon_21,codon_22,codon_23,codon_24,codon_25,codon_26,codon_27,codon_28,codon_29
GCF_001458655.1,Methanobacterium formicicum,0.443612624,0.328638498,0.322010494,0.330709749,0.339547086,0.338718586,0.369373101,0.399889533,0.396023198,0.397818282,0.412455123,0.416459542,0.405689036,0.42004971,0.423087545,0.417011875,0.420325877,0.430129798,0.417978459,0.428058547,0.419497376,0.427230047,0.416321458,0.415803288,0.42063821,0.419947507,0.434908789,0.430762852,0.418186844
GCF_022846155.1,Methanobrevibacter smithii,0.330461516,0.25280567,0.229966529,0.241976767,0.253790116,0.253396338,0.281551487,0.298483954,0.305768852,0.297893286,0.308328411,0.314825753,0.307540854,0.317582201,0.318960425,0.306753298,0.330183107,0.319944871,0.319747982,0.312856862,0.316007088,0.341602678,0.332742666,0.323685765,0.314235086,0.317188423,0.316794645,0.321716873,0.305375074
GCF_001889405.1,Methanohalophilus halophilus,0.438052081,0.356945123,0.36394724,0.338544211,0.3629702,0.354828204,0.365249959,0.384302231,0.407262661,0.415730337,0.421592574,0.410682299,0.417684416,0.423872333,0.433805569,0.446181404,0.43152581,0.428920371,0.434782609,0.429408891,0.425500733,0.436411008,0.437225208,0.438039407,0.442924605,0.427943332,0.446454768,0.437000815,0.426405868
GCF_026684035.1,Methanogenium organophilum,0.517136564,0.39294644,0.426898276,0.405448085,0.429398605,0.446374523,0.462034478,0.479010396,0.476246875,0.488222134,0.501513357,0.512567443,0.499539413,0.485721806,0.500855376,0.50598763,0.505066456,0.494538755,0.507303593,0.506382419,0.506514015,0.511514673,0.50809317,0.500592183,0.505792522,0.504870985,0.503949447,0.505792522,0.507635598
GCF_019263745.1,Methanospirillum hungatei,0.43355006,0.355785297,0.394527987,0.385964912,0.386278195,0.401211362,0.404553049,0.422827903,0.421365915,0.418233083,0.419172932,0.42481203,0.421888053,0.428362573,0.435254804,0.422305764,0.430659983,0.421679198,0.435254804,0.431704261,0.428362573,0.442564745,0.43894286,0.435391204,0.435809046,0.433093074,0.432423957,0.436814048,0.430333438
GCF_019669945.1,Methanosarcina mazei,0.444159196,0.362141015,0.365164044,0.352538455,0.364274918,0.368275985,0.366497733,0.392282386,0.413977061,0.406241664,0.412732284,0.424024184,0.420734418,0.421979194,0.428469814,0.431226105,0.419756379,0.416288788,0.436232657,0.433653504,0.431100436,0.445808863,0.442783413,0.430948567,0.440202883,0.435397758,0.439697374,0.442545616,0.428215398
GCF_037094595.1,Halobacterium salinarum,0.676225562,0.580691455,0.60913242,0.608349641,0.614872798,0.633789954,0.643835616,0.654272668,0.672015656,0.669797782,0.661709067,0.667579909,0.663405088,0.661709067,0.664970646,0.666927593,0.674885845,0.665753425,0.670319635,0.673711676,0.67553816,0.674233529,0.671493803,0.676842792,0.66927593,0.668363352,0.66771078,0.67201775,0.66771078
GCF_029232225.1,Haloferax volcanii,0.671241267,0.565530688,0.603594439,0.598762292,0.609952526,0.623431672,0.642166836,0.658697864,0.67370295,0.660308579,0.663190912,0.663784334,0.666242794,0.665564598,0.666412343,0.666751441,0.658273991,0.674126823,0.664801628,0.672346558,0.672770431,0.673957274,0.678707708,0.676587806,0.674552701,0.676842195,0.665649114,0.672008819,0.674976681
GCF_009729015.1,Acidianus ambivalens,0.348191099,0.331153008,0.328716173,0.319097089,0.311145312,0.322559959,0.323329486,0.34128511,0.343208927,0.364114403,0.34359369,0.344619726,0.340900346,0.347441324,0.330383481,0.347954341,0.346158779,0.34013082,0.345522197,0.326533231,0.342442905,0.347575058,0.336028751,0.344504366,0.346687211,0.339111454,0.340267078,0.340010272,0.347457627
GCF_002215485.1,Sulfolobus acidocaldarius,0.376982652,0.352518979,0.339268461,0.354589372,0.33636991,0.334023464,0.353761215,0.352933057,0.355555556,0.367425811,0.370462388,0.360386473,0.359834369,0.366321601,0.366183575,0.366459627,0.363561077,0.36673568,0.367287785,0.365217391,0.365355418,0.365493444,0.364941339,0.366045549,0.356807512,0.367025684,0.365368683,0.36647335,0.367454068
